WILDLIFE_MGMT_UNIT_ID,year,density,population,population_90ci,calves_100cows,bulls_100cows,source
3-12,1985,0.26,622,58,44,37,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5706&surveyId=37081&pagerOffset=0
8-11,1999,0.12,389,184,54,50,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32268&pagerOffset=0
8-10,1999,0.27,464,178,22,59,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32268&pagerOffset=0
8-8,1999,,,,48,43,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-11,2003,,,,30,57,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-8,2003,,,,34,25,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-10,2003,,,,25,15,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-12,2003,,,,28,39,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=32269&pagerOffset=0
8-8,2004,,,,49,28,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31987&pagerOffset=0
8-10,2004,,,,36,15,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31987&pagerOffset=0
8-12,2004,,,,42,39,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31987&pagerOffset=0
8-8,2005,,,,27,31,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-10,2006,,,,48,16,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-11,2006,,,,40,32,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-21,2006,,,,0,59,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-23,2006,,,,38,28,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31988&pagerOffset=0
8-11,2011,0.85,379,82,32,26,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31405&pagerOffset=0
8-10,2011,,,,29,28,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31405&pagerOffset=0
8-8,2011,,,,24,17,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=31405&pagerOffset=0
8-12,2012,,389,65,26,25,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=38617&pagerOffset=0 and 
8-12,2019,0.30,496,107,33,42,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=38617&pagerOffset=0
8-22,2019,0.34,119,32,36,36,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5448&surveyId=38617&pagerOffset=0
8-23,2003,0.38,221,40,65,49,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5515&surveyId=32350&pagerOffset=0
8-24,2003,0.38,67,19,33,65,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5515&surveyId=32350&pagerOffset=0
8-25,2006,,,,45,54,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5515&surveyId=32351&pagerOffset=0
8-1,2014,0.29,145,48,32,13,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-1,2017,,,,39,6,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-4,2017,0.13,150,43,28,48,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-5,2017,0.25,327,44,29,80,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-6,2013,,249,62,28,24,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-7,2014,0.38,224,80,36,49,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-8,2013,0.34,380,89,18,16,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-8,2017,,,,29,38,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-9,2013,,237,60,50,9,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0 and http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-9,2017,,,,19,16,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-10,2012,,270,84,40,15,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-11,2011,,,,32,25,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-11,2017,,,,37,33,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-14,2016,0.24,350,87,36,85,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-15,2016,0.16,177,47,20,90,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-21,2013,,93,22,24,64,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0 and http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-23,2014,0.31,307,88,29,25,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-24,2014,0.26,138,37,19,41,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-25,2012,,209,34,30,35,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
8-26,2014,0.38,183,26,19,42,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4279&surveyId=36576&pagerOffset=0
4-39,2003,1.58,,,23,80,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=6304&pagerOffset=0
4-39,2014,0.34,73,,39,51,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=24529&pagerOffset=0
4-39,2007,0.96,,,36,54,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=24529&pagerOffset=0
4-39,2012,,,,35,34,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=24529&pagerOffset=0
4-39,2010,,,,32,55,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=24529&pagerOffset=0
4-39,2006,,,,25,52,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=24529&pagerOffset=0
4-39,2017,,,,45,39,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=34317&pagerOffset=0
4-39,2018,,,,64,38,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=2531&surveyId=36296&pagerOffset=0
4-32,2011,0.3,256,52,30,55,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5119&surveyId=25609&pagerOffset=0
3-42,2005,0.74,250,,32,54,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=4242&surveyId=10267&pagerOffset=10
8-6,2001,0.14,103,25,22,52,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5476&surveyId=31907&pagerOffset=0
,,,,,,,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-6,2012,0.33,249,62,27,24,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-9,2012,0.43,237,60,33,8,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-21,2012,0.22,93,22,23,64,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-5,2001,,128,65,,,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-14,2001,,78,49,,,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-5,2005,,75,26,,,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5263&surveyId=28569&pagerOffset=20
8-23,2008,0.32,37,7,62,14,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5427&surveyId=31201&pagerOffset=20
8-1,2009,,72,,42,23,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5432&surveyId=31222&pagerOffset=10
8-9,2009,,105,,40,28,http://a100.gov.bc.ca/pub/siwe/details.do?projectId=5432&surveyId=31222&pagerOffset=10
